sensor_id;sensor_type;location;lat;lon;timestamp;value_type;value
145;DHT22;3528;-0.286;36.067;2021-11-13T04:03:46.396441+00:00;temperature;13
145;DHT22;3528;-0.286;36.067;2021-11-13T04:06:26.808482+00:00;humidity;91
145;DHT22;3528;-0.286;36.067;2021-11-13T04:06:26.808482+00:00;temperature;13
144;SDS011;3528;-0.286;36.067;2021-11-13T04:06:26.816507+00:00;P2;16
144;SDS011;3528;-0.286;36.067;2021-11-13T04:06:26.816507+00:00;P1;21
144;SDS011;3528;-0.286;36.067;2021-11-13T04:09:21.776539+00:00;P2;13
144;SDS011;3528;-0.286;36.067;2021-11-13T04:09:21.776539+00:00;P1;26
145;DHT22;3528;-0.286;36.067;2021-11-13T04:09:21.888537+00:00;humidity;91
145;DHT22;3528;-0.286;36.067;2021-11-13T04:09:21.888537+00:00;temperature;14
145;DHT22;3528;-0.286;36.067;2021-11-13T04:10:16.810632+00:00;humidity;91
145;DHT22;3528;-0.286;36.067;2021-11-13T04:10:16.810632+00:00;temperature;14
144;SDS011;3528;-0.286;36.067;2021-11-13T04:10:16.816480+00:00;P2;13
144;SDS011;3528;-0.286;36.067;2021-11-13T04:10:16.816480+00:00;P1;26
144;SDS011;3528;-0.286;36.067;2021-11-13T04:11:47.100550+00:00;P2;14
144;SDS011;3528;-0.286;36.067;2021-11-13T04:11:47.100550+00:00;P1;19
145;DHT22;3528;-0.286;36.067;2021-11-13T04:11:47.104537+00:00;humidity;91
145;DHT22;3528;-0.286;36.067;2021-11-13T04:11:47.104537+00:00;temperature;14
145;DHT22;3528;-0.286;36.067;2021-11-13T04:14:27.088202+00:00;humidity;91
145;DHT22;3528;-0.286;36.067;2021-11-13T04:14:27.088202+00:00;temperature;14
144;SDS011;3528;-0.286;36.067;2021-11-13T04:14:27.168531+00:00;P2;11
144;SDS011;3528;-0.286;36.067;2021-11-13T04:14:27.168531+00:00;P1;22
144;SDS011;3528;-0.286;36.067;2021-11-13T04:17:07.288537+00:00;P2;14
144;SDS011;3528;-0.286;36.067;2021-11-13T04:17:07.288537+00:00;P1;30
145;DHT22;3528;-0.286;36.067;2021-11-13T04:17:08.500923+00:00;humidity;91
145;DHT22;3528;-0.286;36.067;2021-11-13T04:17:08.500923+00:00;temperature;14
144;SDS011;3528;-0.286;36.067;2021-11-13T04:19:47.440595+00:00;P2;12
144;SDS011;3528;-0.286;36.067;2021-11-13T04:19:47.440595+00:00;P1;28
145;DHT22;3528;-0.286;36.067;2021-11-13T04:19:47.556544+00:00;humidity;91
145;DHT22;3528;-0.286;36.067;2021-11-13T04:19:47.556544+00:00;temperature;14
144;SDS011;3528;-0.286;36.067;2021-11-13T04:22:27.463444+00:00;P2;14
144;SDS011;3528;-0.286;36.067;2021-11-13T04:22:27.463444+00:00;P1;17
145;DHT22;3528;-0.286;36.067;2021-11-13T04:22:27.512935+00:00;humidity;90
145;DHT22;3528;-0.286;36.067;2021-11-13T04:22:27.512935+00:00;temperature;15
145;DHT22;3528;-0.286;36.067;2021-11-13T04:25:07.900481+00:00;humidity;91
145;DHT22;3528;-0.286;36.067;2021-11-13T04:25:07.900481+00:00;temperature;15
144;SDS011;3528;-0.286;36.067;2021-11-13T04:25:07.904502+00:00;P2;10
144;SDS011;3528;-0.286;36.067;2021-11-13T04:25:07.904502+00:00;P1;13
144;SDS011;3528;-0.286;36.067;2021-11-13T04:27:49.128562+00:00;P2;8
144;SDS011;3528;-0.286;36.067;2021-11-13T04:27:49.128562+00:00;P1;23
145;DHT22;3528;-0.286;36.067;2021-11-13T04:27:49.244541+00:00;humidity;90
145;DHT22;3528;-0.286;36.067;2021-11-13T04:27:49.244541+00:00;temperature;15
144;SDS011;3528;-0.286;36.067;2021-11-13T04:30:28.180621+00:00;P2;10
144;SDS011;3528;-0.286;36.067;2021-11-13T04:30:28.180621+00:00;P1;15
145;DHT22;3528;-0.286;36.067;2021-11-13T04:30:28.188556+00:00;humidity;91
145;DHT22;3528;-0.286;36.067;2021-11-13T04:30:28.188556+00:00;temperature;15
145;DHT22;3528;-0.286;36.067;2021-11-13T04:33:08.141559+00:00;humidity;90
145;DHT22;3528;-0.286;36.067;2021-11-13T04:33:08.141559+00:00;temperature;15
144;SDS011;3528;-0.286;36.067;2021-11-13T04:33:08.143427+00:00;P2;8
144;SDS011;3528;-0.286;36.067;2021-11-13T04:33:08.143427+00:00;P1;14
145;DHT22;3528;-0.286;36.067;2021-11-13T04:35:48.519776+00:00;humidity;90
145;DHT22;3528;-0.286;36.067;2021-11-13T04:35:48.519776+00:00;temperature;15
144;SDS011;3528;-0.286;36.067;2021-11-13T04:35:48.523316+00:00;P2;9
144;SDS011;3528;-0.286;36.067;2021-11-13T04:35:48.523316+00:00;P1;18
144;SDS011;3528;-0.286;36.067;2021-11-13T04:38:28.568756+00:00;P2;7
144;SDS011;3528;-0.286;36.067;2021-11-13T04:38:28.568756+00:00;P1;13
145;DHT22;3528;-0.286;36.067;2021-11-13T04:38:28.672727+00:00;humidity;90
145;DHT22;3528;-0.286;36.067;2021-11-13T04:38:28.672727+00:00;temperature;16
144;SDS011;3528;-0.286;36.067;2021-11-13T04:41:08.530954+00:00;P2;8
144;SDS011;3528;-0.286;36.067;2021-11-13T04:41:08.530954+00:00;P1;12
